#Step   Etot   PotE Ktot  T
531 -0.994693 -2.213822  1.219129 1.22
532 -0.994690 -2.210284  1.215594 1.22
533 -0.994682 -2.204826  1.210144 1.21
534 -0.994668 -2.197623  1.202955 1.20
535 -0.994648 -2.188946  1.194298 1.19
536 -0.994621 -2.179165  1.184544 1.18
537 -0.994588 -2.168753  1.174165 1.17
538 -0.994552 -2.158270  1.163717 1.16
539 -0.994516 -2.148325  1.153809 1.15
540 -0.994484 -2.139528  1.145044 1.15
541 -0.994459 -2.132419  1.137960 1.14
542 -0.994447 -2.127411  1.132964 1.13
543 -0.994446 -2.124736  1.130290 1.13
544 -0.994456 -2.124439  1.129984 1.13
545 -0.994473 -2.126397  1.131924 1.13
546 -0.994492 -2.130362  1.135870 1.14
547 -0.994512 -2.136030  1.141518 1.14
548 -0.994529 -2.143081  1.148552 1.15
549 -0.994544 -2.151221  1.156677 1.16
550 -0.994557 -2.160175  1.165618 1.17
551 -0.994571 -2.169676  1.175105 1.18
552 -0.994587 -2.179440  1.184854 1.18
553 -0.994606 -2.189143  1.194537 1.19
554 -0.994626 -2.198419  1.203792 1.20
555 -0.994646 -2.206875  1.212229 1.21
556 -0.994664 -2.214127  1.219463 1.22
557 -0.994677 -2.219828  1.225151 1.23
558 -0.994685 -2.223702  1.229017 1.23
559 -0.994687 -2.225561  1.230874 1.23
560 -0.994684 -2.225311  1.230627 1.23
561 -0.994675 -2.222952  1.228276 1.23
562 -0.994663 -2.218565  1.223902 1.22
563 -0.994647 -2.212308  1.217660 1.22
564 -0.994629 -2.204396  1.209767 1.21
565 -0.994609 -2.195097  1.200488 1.20
566 -0.994588 -2.184718  1.190130 1.19
567 -0.994566 -2.173588  1.179022 1.18
568 -0.994545 -2.162050  1.167505 1.17
569 -0.994526 -2.150441  1.155915 1.16
570 -0.994509 -2.139076  1.144567 1.14
571 -0.994496 -2.128237  1.133740 1.13
572 -0.994486 -2.118158  1.123672 1.12
573 -0.994479 -2.109028  1.114549 1.11
574 -0.994474 -2.100992  1.106518 1.11
575 -0.994471 -2.094161  1.099690 1.10
576 -0.994468 -2.088626  1.094158 1.09
577 -0.994464 -2.084469  1.090005 1.09
578 -0.994460 -2.081778  1.087317 1.09
579 -0.994457 -2.080637  1.086180 1.09
580 -0.994455 -2.081122  1.086667 1.09
581 -0.994456 -2.083274  1.088817 1.09
582 -0.994463 -2.087073  1.092609 1.09
583 -0.994477 -2.092412  1.097935 1.10
584 -0.994498 -2.099079  1.104581 1.10
585 -0.994524 -2.106756  1.112232 1.11
586 -0.994554 -2.115035  1.120482 1.12
587 -0.994585 -2.123451  1.128866 1.13
588 -0.994614 -2.131519  1.136905 1.14
589 -0.994639 -2.138784  1.144145 1.14
590 -0.994658 -2.144854  1.150196 1.15
591 -0.994670 -2.149426  1.154756 1.15
592 -0.994675 -2.152304  1.157629 1.16
593 -0.994674 -2.153405  1.158731 1.16
